"","PARTICIPANTID","variable","value","Type","Instrument","Mode1","Background","Gender","Mode"
"213","UK822095_1","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","UK","Male","MJ-CRM"
"214","UK797077_2","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","UK","Female","MJ-CRM"
"215","UK81875_2","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","UK","Female","MJ-CRM"
"216","UK647420_2","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","UK","Female","MJ-CRM"
"217","UK149852_2","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","UK","Female","MJ-CRM"
"218","UK716863_1","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","UK","Male","MJ-CRM"
"219","UK338720_2","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","UK","Female","MJ-CRM"
"220","UK477753_2","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","UK","Female","MJ-CRM"
"221","UK734747_1","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","UK","Male","MJ-CRM"
"222","UK632976_1","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","UK","Male","MJ-CRM"
"223","UK559939_1","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Male","MJ-CRM"
"224","UK787801_2","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Female","MJ-CRM"
"225","UK249638_2","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Female","MJ-CRM"
"226","UK349080_1","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Male","MJ-CRM"
"227","UK774380_2","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Female","MJ-CRM"
"228","UK819618_1","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Male","MJ-CRM"
"229","UK40395_2","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Female","MJ-CRM"
"230","UK192527_2","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Female","MJ-CRM"
"231","UK668521_2","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Female","MJ-CRM"
"232","UK581636_2","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Female","MJ-CRM"
"233","UK812201_2","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Female","MJ-CRM"
"234","UK553917_1","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Male","MJ-CRM"
